mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-customers-13,customers,home_country,JSON,customerProfiles[*].homeCountry,N/A - entity not present in XML source,,,
MAP-customers-14,customers,preferred_language,JSON,customerProfiles[*].preferredLanguage,N/A - entity not present in XML source,,,
MAP-customers-15,customers,acquisition_source,JSON,customerProfiles[*].acquisitionSource,N/A - entity not present in XML source,,,
MAP-customers-16,customers,account_status,JSON,customerProfiles[*].accountStatus,N/A - entity not present in XML source,,,
MAP-customers-17,customers,preferred_device,JSON,customerProfiles[*].preferredDevice,N/A - entity not present in XML source,,,
MAP-customers-18,customers,email_domain,JSON,customerProfiles[*].emailDomain,N/A - entity not present in XML source,,,
MAP-customers-19,customers,household_size_band,JSON,customerProfiles[*].householdSizeBand,N/A - entity not present in XML source,,,
MAP-customers-20,customers,contact_frequency_preference,JSON,customerProfiles[*].contactFrequencyPreference,N/A - entity not present in XML source,,,
MAP-deliveries-01,deliveries,delivery_id,both,orders[*].delivery.deliveryID,OperationsExport/Orders/Order/Delivery/Delivery_ID,,,
MAP-deliveries-02,deliveries,order_id,both,orders[*].delivery.orderID,OperationsExport/Orders/Order/Delivery/Order_ID,,,
MAP-deliveries-03,deliveries,dispatch_date,both,orders[*].delivery.dispatchDate,OperationsExport/Orders/Order/Delivery/Dispatch_Date,,,
MAP-deliveries-04,deliveries,promised_date,both,orders[*].delivery.promisedDate,OperationsExport/Orders/Order/Delivery/Promised_Date,,,
MAP-deliveries-05,deliveries,delivered_date,both,orders[*].delivery.deliveredDate,OperationsExport/Orders/Order/Delivery/Delivered_Date,,,
MAP-deliveries-06,deliveries,carrier,both,orders[*].delivery.carrier,OperationsExport/Orders/Order/Delivery/Carrier,,,
MAP-deliveries-07,deliveries,service_level,both,orders[*].delivery.serviceLevel,OperationsExport/Orders/Order/Delivery/Service_Level,,,
MAP-deliveries-08,deliveries,delivery_status,both,orders[*].delivery.deliveryStatus,OperationsExport/Orders/Order/Delivery/Delivery_Status,,,
MAP-deliveries-09,deliveries,delay_days,both,orders[*].delivery.delayDays,OperationsExport/Orders/Order/Delivery/Delay_Days,,,
MAP-deliveries-10,deliveries,on_time_in_full,both,orders[*].delivery.onTimeInFull,OperationsExport/Orders/Order/Delivery/On_Time_In_Full,,,
MAP-deliveries-11,deliveries,fulfilment_hours,both,orders[*].delivery.fulfilmentHours,OperationsExport/Orders/Order/Delivery/Fulfilment_Hours,,,
MAP-deliveries-12,deliveries,delivery_cost,both,orders[*].delivery.deliveryCost,OperationsExport/Orders/Order/Delivery/Delivery_Cost,,,
MAP-deliveries-13,deliveries,delay_reason,both,orders[*].delivery.delayReason,OperationsExport/Orders/Order/Delivery/Delay_Reason,,,
MAP-deliveries-14,deliveries,promised_days,both,orders[*].delivery.promisedDays,OperationsExport/Orders/Order/Delivery/Promised_Days,,,
MAP-deliveries-15,deliveries,tracking_event_count,both,orders[*].delivery.trackingEventCount,OperationsExport/Orders/Order/Delivery/Tracking_Event_Count,,,
MAP-deliveries-16,deliveries,delivery_window,both,orders[*].delivery.deliveryWindow,OperationsExport/Orders/Order/Delivery/Delivery_Window,,,
MAP-deliveries-17,deliveries,shipping_distance_km,both,orders[*].delivery.shippingDistanceKm,OperationsExport/Orders/Order/Delivery/Shipping_Distance_Km,,,
MAP-deliveries-18,deliveries,signature_required,both,orders[*].delivery.signatureRequired,OperationsExport/Orders/Order/Delivery/Signature_Required,,,
MAP-deliveries-19,deliveries,estimated_carbon_kg,both,orders[*].delivery.estimatedCarbonKg,OperationsExport/Orders/Order/Delivery/Estimated_Carbon_Kg,,,
MAP-deliveries-20,deliveries,delivery_note_clean,derived,orders[*].delivery.deliveryNoteClean,OperationsExport/Orders/Order/Delivery/Delivery_Note_Clean,,,
MAP-products-01,products,product_id,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Product_ID,,,
MAP-products-02,products,product_name,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Product_Name,,,
MAP-products-03,products,category,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Category,,,
MAP-products-04,products,brand,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Brand,,,
MAP-products-05,products,unit_price,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Unit_Price,,,
MAP-products-06,products,unit_cost,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Unit_Cost,,,
MAP-products-07,products,launch_year,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Launch_Year,,,
MAP-products-08,products,warranty_months,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Warranty_Months,,,
MAP-products-09,products,weight_kg,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Weight_Kg,,,
MAP-products-10,products,product_sku,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Product_Sku,,,
MAP-products-11,products,subcategory,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Subcategory,,,
MAP-products-12,products,model_family,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Model_Family,,,
MAP-products-13,products,colour,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Colour,,,
MAP-products-14,products,supplier_id,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Supplier_ID,,,
MAP-products-15,products,supplier_country,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Supplier_Country,,,
MAP-products-16,products,launch_date,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Launch_Date,,,
MAP-products-17,products,tax_category,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Tax_Category,,,
MAP-products-18,products,package_type,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Package_Type,,,
MAP-products-19,products,recyclable_packaging,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Recyclable_Packaging,,,
MAP-products-20,products,active_flag,XML,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Active_Flag,,,
MAP-products-21,products,product_description_clean,derived,N/A - entity not present in JSON source,OperationsExport/ProductCatalogue/Product/Product_Description,,,
MAP-product_reviews-01,product_reviews,review_id,both,productReviews[*].reviewID,OperationsExport/ProductReviews/Review/Review_ID,,,
MAP-product_reviews-02,product_reviews,order_id,both,productReviews[*].orderID,OperationsExport/ProductReviews/Review/Order_ID,,,
MAP-product_reviews-03,product_reviews,order_item_id,both,productReviews[*].orderItemID,OperationsExport/ProductReviews/Review/Order_Item_ID,,,
MAP-product_reviews-04,product_reviews,product_id,both,productReviews[*].productID,OperationsExport/ProductReviews/Review/Product_ID,,,
MAP-product_reviews-05,product_reviews,customer_id,both,productReviews[*].customerID,OperationsExport/ProductReviews/Review/Customer_ID,,,
MAP-product_reviews-06,product_reviews,review_timestamp,both,productReviews[*].reviewTimestamp,OperationsExport/ProductReviews/Review/Review_Timestamp,,,
MAP-product_reviews-07,product_reviews,language_code,both,productReviews[*].languageCode,OperationsExport/ProductReviews/Review/Language_Code,,,
MAP-product_reviews-08,product_reviews,rating,both,productReviews[*].rating,OperationsExport/ProductReviews/Review/Rating,,,
MAP-product_reviews-09,product_reviews,review_title,both,productReviews[*].reviewTitle,OperationsExport/ProductReviews/Review/Review_Title,,,
MAP-product_reviews-10,product_reviews,review_body_clean,derived,productReviews[*].reviewText,OperationsExport/ProductReviews/Review/Review_Text,,,
MAP-product_reviews-11,product_reviews,review_body_latin_analysis,derived,productReviews[*].reviewText,OperationsExport/ProductReviews/Review/Review_Text,,,
MAP-product_reviews-12,product_reviews,verified_purchase,both,productReviews[*].verifiedPurchase,OperationsExport/ProductReviews/Review/Verified_Purchase,,,
MAP-product_reviews-13,product_reviews,helpful_votes,both,productReviews[*].helpfulVotes,OperationsExport/ProductReviews/Review/Helpful_Votes,,,
MAP-product_reviews-14,product_reviews,review_length_chars,derived,productReviews[*].reviewText,OperationsExport/ProductReviews/Review/Review_Text,,,
MAP-product_reviews-15,product_reviews,review_word_count,derived,productReviews[*].reviewText,OperationsExport/ProductReviews/Review/Review_Text,,,
MAP-product_reviews-16,product_reviews,contains_non_latin_script,derived,productReviews[*].reviewText,OperationsExport/ProductReviews/Review/Review_Text,,,
MAP-product_reviews-17,product_reviews,extracted_order_reference,derived,productReviews[*].reviewText,OperationsExport/ProductReviews/Review/Review_Text,,,
MAP-product_reviews-18,product_reviews,extracted_product_sku,derived,productReviews[*].reviewText,OperationsExport/ProductReviews/Review/Review_Text,,,
MAP-product_reviews-19,product_reviews,delivery_experience,both,productReviews[*].deliveryExperience,OperationsExport/ProductReviews/Review/Delivery_Experience,,,
MAP-product_reviews-20,product_reviews,value_experience,both,productReviews[*].valueExperience,OperationsExport/ProductReviews/Review/Value_Experience,,,
MAP-product_reviews-21,product_reviews,writing_style,both,productReviews[*].writingStyle,OperationsExport/ProductReviews/Review/Writing_Style,,,
