mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-12,orders,coupon_code,both,orders[].header.couponCode,Orders/Order/Header/Coupon_Code,"Direct copy; strip whitespace. Blank means no coupon: JSON empty string, XML empty element - normalise both to NA. The only field with missing values anywhere (1,767 blank in JSON, 1,770 in XML); nullable = True in the dictionary.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017. Blank vs None is an encoding difference, not a disagreement.",S1.3b
MAP-orders-13,orders,coupon_discount,both,orders[].header.couponDiscount,Orders/Order/Header/Coupon_Discount,"PERCENTAGE, not a dollar amount. JSON: already int. XML: text '10%' - strip '%', cast int. Observed values {0,5,10,15,20,25}. Enters order_total as price*(1-d/100); subtracting it as dollars breaks 3,906 of 5,000 totals and every result still looks plausible.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-14,orders,tax_amount,both,orders[].header.taxAmount,Orders/Order/Header/Tax_Amount,"JSON: already float. XML: strip 'AUD ' prefix and ',' separator, cast float, round 2. Identity checked, not recomputed: tax_amount == round(order_price/11, 2), 0 mismatches of 5,000 - i.e. GST already included in order_price.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-15,orders,order_total,both,orders[].header.orderTotal,Orders/Order/Header/Order_Total,"JSON: already float. XML: strip 'AUD ' prefix and ',' separator, cast float, round 2. Identity checked, not recomputed: order_total == round(order_price*(1-coupon_discount/100) + delivery_charges, 2), 0 of 5,000 outside 0.01 tolerance. Zero orders match a formula that adds tax again.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-16,orders,season,both,orders[].header.season,Orders/Order/Header/Season,Direct copy; strip whitespace.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-17,orders,expedited_delivery,both,orders[].header.expeditedDelivery,Orders/Order/Header/Expedited_Delivery,"JSON: already bool. XML: text 'Y'/'N' - map Y->True, N->False. Cast to bool, not to the strings 'True'/'False'.","Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017. Y/N vs true/false is an encoding difference, not a disagreement.",S1.3b
MAP-orders-18,orders,customer_lat,both,orders[].header.customerLat,Orders/Order/Header/Customer_Lat,JSON: already float. XML: cast text to float. No rounding - coordinate precision is meaningful.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-19,orders,customer_long,both,orders[].header.customerLong,Orders/Order/Header/Customer_Long,JSON: already float. XML: cast text to float. No rounding.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-20,orders,device_type,both,orders[].header.deviceType,Orders/Order/Header/Device_Type,Direct copy; strip whitespace.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-21,orders,referral_source,both,orders[].header.referralSource,Orders/Order/Header/Referral_Source,Direct copy; strip whitespace.,"Field-identical after normalisation across the 500 shared orders; concat both sources then drop_duplicates('order_id', keep='first') - DEC-017.",S1.3b
MAP-orders-22,orders,customer_note_clean,derived,orders[].header.customerNote,Orders/Order/Header/Customer_Note,"DERIVED by clean_narrative_text() (WP4) from the raw note: removes [SYSTEM] markers, HTML tags, URLs, and the PROMO:/Reference:/SKU: fragments; normalises whitespace. Input is the surviving _raw column, applied after deduplication; _raw is dropped before export - DEC-014.","Not compared across sources. The raw note is field-identical on shared orders; cleaning is deterministic, so it is applied once to the pooled table after dedup.",S1.3b + WP4 (G2)
MAP-orders-23,orders,promo_code,derived,orders[].header.customerNote,Orders/Order/Header/Customer_Note,"DERIVED by extract_promo_code() (WP4) from the RAW note, BEFORE cleaning. Order matters: clean_narrative_text() strips the 'PROMO: ...' fragment, so extracting from the cleaned body returns the NaN sentinel for every row - DEC-014. Nullable: NA when the note carries no promo. Same source field as MAP-orders-22; the fan-out is recorded here, not in column names - DEC-015.",Not compared across sources; derived once on the pooled table after dedup.,S1.3b + WP4 (G2)
