output_table,target_field,transformation_or_derivation,notebook_evidence
deliveries,delivery_cost,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",§4.4
deliveries,delay_reason,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.4
deliveries,promised_days,Cast to numeric (§4.0.1).,§4.4
deliveries,tracking_event_count,Cast to numeric (§4.0.1).,§4.4
deliveries,delivery_window,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.4
deliveries,shipping_distance_km,Cast to numeric (§4.0.1).,§4.4
deliveries,signature_required,XML 'Y'/'N' and JSON native bool both become Python bool (§4.0.1 norm_bool).,§4.4
deliveries,estimated_carbon_kg,Cast to numeric (§4.0.1).,§4.4
deliveries,delivery_note_clean,"Direct copy from the source column of the same name. Deliberately not cleaned: the field holds two structured values and clean_narrative_text alters all 5,000 rows by letter case alone, which would corrupt a categorical (DEC-018).",§4.4
products,product_id,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,product_name,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,category,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,brand,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,unit_price,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",§4.5
products,unit_cost,"Strip the 'AUD' label and thousands separator, cast to float, round to 2dp (§4.0.1 norm_money, §4.0.3 money_round). JSON arrives numeric; one function accepts both spellings.",§4.5
products,launch_year,Cast to numeric (§4.0.1).,§4.5
products,warranty_months,Cast to numeric (§4.0.1).,§4.5
products,weight_kg,Cast to numeric (§4.0.1).,§4.5
products,product_sku,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,subcategory,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,model_family,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,colour,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,supplier_id,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,supplier_country,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,launch_date,"Parsed dayfirst for XML and ISO for JSON, held as a Timestamp through §4, emitted as YYYY-MM-DD at export (§4.0.1, §7).",§4.5
products,tax_category,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,package_type,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.5
products,recyclable_packaging,XML 'Y'/'N' and JSON native bool both become Python bool (§4.0.1 norm_bool).,§4.5
products,active_flag,XML 'Y'/'N' and JSON native bool both become Python bool (§4.0.1 norm_bool).,§4.5
products,product_description_clean,TODO-SHAWN,§4.5
product_reviews,review_id,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,order_id,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,order_item_id,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,product_id,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,customer_id,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,review_timestamp,"Parsed dayfirst for XML and ISO for JSON, held as a Timestamp through §4, emitted as YYYY-MM-DD HH:MM:SS at export (§4.0.1, §7).",§4.6
product_reviews,language_code,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,rating,Cast to numeric (§4.0.1).,§4.6
product_reviews,review_title,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,review_body_clean,TODO-SHAWN,§4.6
product_reviews,review_body_latin_analysis,TODO-SHAWN,§4.6
product_reviews,verified_purchase,XML 'Y'/'N' and JSON native bool both become Python bool (§4.0.1 norm_bool).,§4.6
product_reviews,helpful_votes,Cast to numeric (§4.0.1).,§4.6
product_reviews,review_length_chars,TODO-SHAWN,§4.6
product_reviews,review_word_count,TODO-SHAWN,§4.6
product_reviews,contains_non_latin_script,TODO-SHAWN,§4.6
product_reviews,extracted_order_reference,TODO-SHAWN,§4.6
product_reviews,extracted_product_sku,TODO-SHAWN,§4.6
product_reviews,delivery_experience,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,value_experience,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
product_reviews,writing_style,Direct copy after deduplication. No case change; identifier padding preserved (dtype held as string through export).,§4.6
