customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00023,2017-03-04,Gold,Small Business,45-54,Mobile,Melbourne,19,9399.11,True,3000,VIC,Australia,nl,Store,Active,Desktop,mail.test,5+,Quarterly
CUS00024,2015-05-16,Silver,Value,55+,Mobile,St Kilda,7,4818.15,False,3182,VIC,Australia,de,Social,Active,Mobile,example.net,5+,Quarterly
CUS00025,2015-12-14,Bronze,Premium,35-44,Store,Footscray,19,1652.18,True,3011,VIC,Australia,pt,Social,Active,Tablet,mail.test,5+,Monthly
CUS00026,2014-09-20,Silver,Small Business,18-24,Mobile,Docklands,10,6205.37,False,3008,VIC,Australia,fr,Paid Search,Active,Desktop,inbox.example,3-4,Essential only
CUS00027,2013-05-09,Silver,Mainstream,35-44,Mobile,Hawthorn,12,6617.15,True,3122,VIC,Australia,es,Referral,Active,Desktop,inbox.example,3-4,Quarterly
CUS00028,2014-10-15,Bronze,Value,35-44,Mobile,St Kilda,13,6729.55,True,3182,VIC,Australia,pl,Paid Search,Active,Mobile,mail.test,2,Quarterly
CUS00029,2017-04-15,Platinum,Value,45-54,Mobile,Melbourne,5,1075.74,True,3000,VIC,Australia,pl,Paid Search,Active,Tablet,example.net,2,Weekly
CUS00030,2016-01-27,Bronze,Value,45-54,Mobile,St Kilda,5,3085.78,True,3182,VIC,Australia,ja,Paid Search,Active,Tablet,mail.test,5+,Monthly
CUS00031,2017-06-15,Platinum,Premium,35-44,Mobile,Docklands,0,197.69,True,3008,VIC,Australia,ar,Organic,Active,Tablet,example.net,1,Quarterly
CUS00032,2016-05-15,Gold,Mainstream,18-24,Mobile,Carlton,4,4358.38,True,3053,VIC,Australia,ja,Store,Active,Tablet,inbox.example,5+,Quarterly
CUS00033,2013-07-18,Bronze,Small Business,18-24,Mobile,Northcote,1,1144.04,True,3070,VIC,Australia,en,Paid Search,Active,Desktop,example.net,2,Essential only
CUS00034,2013-03-20,Platinum,Premium,35-44,Mobile,Footscray,16,12913.67,True,3011,VIC,Australia,en,Social,Active,Mobile,example.net,5+,Essential only
CUS00035,2013-07-06,Silver,Premium,18-24,Mobile,Brunswick,1,1168.84,True,3056,VIC,Australia,ja,Store,Active,Tablet,inbox.example,1,Weekly
CUS00036,2015-05-17,Silver,Value,25-34,Web,Melbourne,7,6886.19,True,3000,VIC,Australia,pt,Organic,Active,Desktop,mail.test,2,Essential only
CUS00037,2017-07-14,Silver,Premium,18-24,Store,Brunswick,1,945.8,True,3056,VIC,Australia,it,Store,Active,Mobile,mail.test,2,Essential only
CUS00038,2014-03-25,Bronze,Premium,35-44,Store,Brunswick,18,6544.2,True,3056,VIC,Australia,pl,Organic,Active,Mobile,mail.test,2,Monthly
CUS00039,2015-09-21,Silver,Small Business,35-44,Store,Hawthorn,20,7192.6,True,3122,VIC,Australia,ar,Store,Active,Desktop,inbox.example,2,Monthly
CUS00040,2014-08-15,Bronze,Small Business,45-54,Mobile,Carlton,6,3011.15,True,3053,VIC,Australia,ru,Store,Active,Desktop,example.net,1,Quarterly
CUS00041,2013-02-19,Bronze,Small Business,45-54,Mobile,Hawthorn,10,2539.24,True,3122,VIC,Australia,zh,Organic,Active,Desktop,mail.test,2,Essential only
CUS00042,2015-04-16,Gold,Small Business,55+,Web,Carlton,14,4379.17,True,3053,VIC,Australia,zh,Paid Search,Active,Tablet,example.net,1,Essential only
CUS00043,2014-01-02,Gold,Small Business,25-34,Store,Northcote,11,6844.4,True,3070,VIC,Australia,en,Social,Active,Mobile,example.net,2,Essential only
CUS00044,2017-11-16,Bronze,Premium,55+,Store,Hawthorn,11,5983.72,True,3122,VIC,Australia,fr,Store,Active,Mobile,mail.test,3-4,Quarterly
CUS00045,2015-01-21,Bronze,Value,35-44,Web,Melbourne,3,2861.84,False,3000,VIC,Australia,ar,Social,Active,Desktop,inbox.example,5+,Essential only
CUS00046,2017-04-14,Gold,Premium,55+,Store,Richmond,14,5567.33,True,3121,VIC,Australia,fr,Organic,Active,Tablet,mail.test,1,Quarterly
CUS00047,2013-10-05,Silver,Small Business,18-24,Store,Northcote,21,2181.66,False,3070,VIC,Australia,en,Paid Search,Active,Mobile,mail.test,3-4,Essential only
CUS00048,2015-03-08,Gold,Small Business,45-54,Store,Melbourne,7,1790.58,True,3000,VIC,Australia,zh,Organic,Active,Desktop,example.net,2,Quarterly
CUS00049,2013-06-27,Gold,Value,35-44,Web,Footscray,8,7241.44,False,3011,VIC,Australia,ar,Paid Search,Active,Mobile,mail.test,2,Quarterly
CUS00050,2014-07-18,Platinum,Value,55+,Web,Richmond,6,2207.32,True,3121,VIC,Australia,pt,Organic,Active,Mobile,inbox.example,1,Essential only
CUS00051,2013-06-21,Bronze,Small Business,55+,Store,Northcote,18,8254.73,False,3070,VIC,Australia,fr,Store,Active,Tablet,inbox.example,5+,Quarterly
CUS00052,2014-01-16,Silver,Small Business,25-34,Store,Docklands,15,12630.65,True,3008,VIC,Australia,en,Referral,Active,Desktop,example.net,5+,Monthly
CUS00053,2013-02-16,Gold,Value,45-54,Web,Carlton,10,9539.31,False,3053,VIC,Australia,fr,Paid Search,Active,Desktop,example.net,1,Monthly
CUS00054,2013-10-01,Silver,Premium,55+,Mobile,Northcote,11,3522.5,True,3070,VIC,Australia,es,Social,Active,Tablet,example.net,1,Quarterly
CUS00055,2016-04-04,Gold,Mainstream,35-44,Web,Richmond,20,11432.13,True,3121,VIC,Australia,ar,Store,Active,Tablet,inbox.example,3-4,Monthly
CUS00056,2013-03-08,Gold,Premium,55+,Web,Docklands,17,6166.66,True,3008,VIC,Australia,nl,Referral,Active,Tablet,mail.test,2,Quarterly
CUS00057,2014-07-10,Silver,Premium,55+,Store,St Kilda,12,1855.94,True,3182,VIC,Australia,fr,Paid Search,Active,Tablet,example.net,2,Weekly
CUS00058,2016-04-07,Silver,Value,55+,Store,Northcote,5,1546.07,True,3070,VIC,Australia,ja,Paid Search,Active,Mobile,example.net,1,Essential only
CUS00059,2015-10-27,Gold,Premium,35-44,Web,Brunswick,2,767.04,True,3056,VIC,Australia,hi,Referral,Active,Tablet,inbox.example,5+,Essential only
CUS00060,2013-05-12,Silver,Value,35-44,Store,Docklands,17,8461.02,True,3008,VIC,Australia,de,Paid Search,Active,Tablet,inbox.example,1,Quarterly
CUS00061,2015-09-02,Bronze,Value,55+,Store,Carlton,3,1119.67,True,3053,VIC,Australia,pt,Referral,Active,Tablet,example.net,2,Weekly
CUS00062,2016-07-05,Bronze,Mainstream,55+,Web,Northcote,6,3758.66,True,3070,VIC,Australia,ja,Paid Search,Active,Desktop,mail.test,3-4,Quarterly
CUS00063,2013-11-27,Silver,Premium,18-24,Store,Brunswick,2,1051.38,False,3056,VIC,Australia,pt,Paid Search,Active,Desktop,inbox.example,2,Monthly
CUS00064,2017-08-26,Silver,Value,35-44,Web,Hawthorn,18,15455.08,False,3122,VIC,Australia,ja,Social,Active,Desktop,inbox.example,3-4,Weekly
CUS00065,2017-05-23,Gold,Small Business,55+,Web,Southbank,12,11543.45,True,3006,VIC,Australia,en,Paid Search,Active,Tablet,mail.test,5+,Quarterly
CUS00066,2015-02-23,Silver,Premium,55+,Web,Carlton,10,6528.6,True,3053,VIC,Australia,ru,Paid Search,Active,Desktop,mail.test,2,Quarterly
CUS00067,2014-10-24,Silver,Small Business,45-54,Web,Northcote,21,7394.18,False,3070,VIC,Australia,ja,Paid Search,Active,Desktop,mail.test,1,Monthly
CUS00068,2015-12-17,Platinum,Value,35-44,Mobile,Melbourne,3,389.27,True,3000,VIC,Australia,en,Organic,Active,Mobile,mail.test,3-4,Essential only
CUS00069,2013-08-17,Bronze,Mainstream,25-34,Store,Docklands,15,6667.8,True,3008,VIC,Australia,ar,Organic,Active,Tablet,inbox.example,3-4,Quarterly
CUS00070,2017-01-18,Bronze,Small Business,18-24,Mobile,St Kilda,20,4235.99,True,3182,VIC,Australia,es,Social,Active,Desktop,example.net,3-4,Weekly
CUS00071,2016-10-22,Silver,Value,45-54,Store,Richmond,6,3639.78,True,3121,VIC,Australia,ar,Organic,Active,Desktop,example.net,5+,Essential only
CUS00072,2017-02-07,Bronze,Mainstream,18-24,Store,Melbourne,21,3601.64,True,3000,VIC,Australia,pt,Organic,Dormant,Desktop,inbox.example,2,Monthly
CUS00073,2016-09-18,Bronze,Premium,55+,Store,Carlton,16,11816.64,True,3053,VIC,Australia,pl,Paid Search,Active,Tablet,example.net,3-4,Essential only
CUS00074,2016-07-26,Bronze,Premium,35-44,Store,Brunswick,11,9244.72,True,3056,VIC,Australia,zh,Social,Active,Tablet,example.net,2,Quarterly
CUS00075,2015-08-24,Platinum,Mainstream,55+,Mobile,St Kilda,4,3613.59,False,3182,VIC,Australia,hi,Paid Search,Active,Desktop,inbox.example,1,Essential only
CUS00076,2013-03-10,Gold,Premium,18-24,Web,Hawthorn,3,2114.93,True,3122,VIC,Australia,zh,Referral,Active,Mobile,example.net,3-4,Essential only
CUS00077,2016-08-09,Bronze,Small Business,25-34,Mobile,Northcote,1,677.19,True,3070,VIC,Australia,en,Social,Dormant,Tablet,mail.test,3-4,Weekly
CUS00078,2017-12-15,Gold,Value,18-24,Mobile,Carlton,21,14751.96,True,3053,VIC,Australia,fr,Organic,Active,Desktop,inbox.example,1,Weekly
CUS00079,2015-03-26,Gold,Small Business,25-34,Mobile,Melbourne,21,7646.5,True,3000,VIC,Australia,ar,Store,Active,Desktop,inbox.example,1,Quarterly
CUS00080,2013-06-02,Gold,Mainstream,35-44,Store,Brunswick,18,15834.36,True,3056,VIC,Australia,en,Organic,Active,Mobile,example.net,5+,Weekly
CUS00081,2015-05-17,Bronze,Mainstream,18-24,Mobile,Docklands,12,11334.13,True,3008,VIC,Australia,ja,Paid Search,Active,Tablet,inbox.example,3-4,Monthly
CUS00082,2014-08-16,Silver,Small Business,18-24,Store,St Kilda,14,7422.42,True,3182,VIC,Australia,es,Referral,Active,Tablet,inbox.example,3-4,Essential only
CUS00083,2015-02-27,Silver,Small Business,55+,Mobile,Southbank,6,4154.22,True,3006,VIC,Australia,pl,Paid Search,Active,Desktop,mail.test,1,Weekly
CUS00084,2014-02-12,Gold,Value,55+,Store,Southbank,5,2942.37,False,3006,VIC,Australia,ar,Organic,Dormant,Desktop,inbox.example,2,Weekly
CUS00085,2017-03-18,Silver,Small Business,18-24,Mobile,Southbank,2,1925.39,True,3006,VIC,Australia,it,Social,Active,Tablet,mail.test,1,Quarterly
CUS00086,2015-10-26,Gold,Value,35-44,Store,Hawthorn,2,2367.12,True,3122,VIC,Australia,es,Paid Search,Active,Desktop,mail.test,5+,Quarterly
CUS00087,2013-03-12,Bronze,Premium,35-44,Web,Melbourne,5,4814.84,True,3000,VIC,Australia,fr,Store,Active,Mobile,inbox.example,5+,Monthly
CUS00088,2013-12-12,Bronze,Value,18-24,Mobile,Southbank,14,4850.97,False,3006,VIC,Australia,pl,Organic,Dormant,Mobile,inbox.example,3-4,Essential only
CUS00089,2016-12-10,Gold,Value,18-24,Web,Melbourne,13,4172.24,True,3000,VIC,Australia,pt,Social,Active,Tablet,mail.test,3-4,Monthly
CUS00090,2015-01-25,Bronze,Small Business,35-44,Web,Footscray,14,3808.45,False,3011,VIC,Australia,hi,Referral,Active,Mobile,example.net,5+,Weekly
CUS00091,2017-11-16,Gold,Mainstream,55+,Mobile,Docklands,0,753.76,True,3008,VIC,Australia,pl,Referral,Active,Mobile,mail.test,1,Essential only
CUS00092,2015-02-09,Gold,Value,35-44,Mobile,Melbourne,21,13443.38,True,3000,VIC,Australia,pt,Paid Search,Active,Tablet,mail.test,5+,Quarterly
CUS00093,2014-08-12,Bronze,Value,35-44,Store,St Kilda,18,3825.29,True,3182,VIC,Australia,zh,Social,Active,Mobile,example.net,5+,Essential only
CUS00094,2016-02-16,Bronze,Mainstream,25-34,Web,St Kilda,1,1747.02,False,3182,VIC,Australia,pl,Paid Search,Active,Tablet,example.net,3-4,Essential only
CUS00095,2016-09-01,Silver,Premium,45-54,Mobile,St Kilda,16,8800.99,True,3182,VIC,Australia,pl,Organic,Active,Desktop,example.net,1,Monthly
CUS00096,2014-02-13,Bronze,Mainstream,18-24,Web,Northcote,1,972.98,False,3070,VIC,Australia,nl,Store,Active,Desktop,mail.test,5+,Monthly
CUS00097,2016-10-03,Bronze,Premium,55+,Web,Northcote,7,1306.06,True,3070,VIC,Australia,ja,Referral,Review,Desktop,mail.test,1,Weekly
CUS00098,2014-10-22,Silver,Value,18-24,Mobile,St Kilda,6,3127.29,True,3182,VIC,Australia,zh,Paid Search,Active,Mobile,inbox.example,5+,Quarterly
CUS00099,2014-07-23,Bronze,Premium,45-54,Web,Brunswick,5,1599.35,False,3056,VIC,Australia,pl,Social,Active,Mobile,example.net,3-4,Essential only
CUS00100,2016-02-16,Bronze,Small Business,55+,Mobile,Southbank,18,7767.82,True,3006,VIC,Australia,ja,Store,Dormant,Tablet,inbox.example,5+,Essential only
CUS00101,2015-08-05,Bronze,Mainstream,35-44,Mobile,Southbank,16,2721.66,True,3006,VIC,Australia,fr,Organic,Dormant,Tablet,inbox.example,3-4,Quarterly
CUS00102,2017-01-16,Silver,Mainstream,25-34,Mobile,St Kilda,20,4712.28,True,3182,VIC,Australia,ar,Paid Search,Active,Tablet,mail.test,5+,Monthly
CUS00103,2016-12-15,Gold,Value,55+,Store,Richmond,4,2678.59,False,3121,VIC,Australia,ja,Referral,Active,Mobile,inbox.example,1,Essential only
CUS00104,2015-07-27,Gold,Premium,35-44,Web,Southbank,7,1977.76,True,3006,VIC,Australia,pt,Store,Active,Tablet,inbox.example,5+,Essential only
CUS00105,2014-09-20,Silver,Mainstream,35-44,Store,Footscray,7,4167.77,False,3011,VIC,Australia,ru,Organic,Active,Desktop,inbox.example,2,Monthly
CUS00106,2017-03-25,Silver,Value,45-54,Store,St Kilda,5,4798.85,False,3182,VIC,Australia,de,Social,Active,Desktop,inbox.example,3-4,Essential only
CUS00107,2017-08-08,Bronze,Mainstream,18-24,Mobile,Docklands,13,3722.31,True,3008,VIC,Australia,ru,Organic,Active,Desktop,example.net,3-4,Quarterly
CUS00108,2017-01-13,Gold,Value,45-54,Web,Hawthorn,2,2553.77,True,3122,VIC,Australia,hi,Referral,Active,Desktop,inbox.example,3-4,Weekly
CUS00109,2015-11-07,Platinum,Premium,45-54,Store,Docklands,0,243.09,True,3008,VIC,Australia,hi,Social,Active,Tablet,inbox.example,5+,Quarterly
CUS00110,2014-11-18,Platinum,Small Business,25-34,Store,Southbank,15,6325.13,True,3006,VIC,Australia,ar,Referral,Active,Mobile,inbox.example,1,Monthly
CUS00111,2016-12-14,Silver,Value,18-24,Mobile,Footscray,17,11226.71,False,3011,VIC,Australia,ja,Store,Active,Mobile,inbox.example,2,Weekly
CUS00112,2014-04-21,Gold,Mainstream,25-34,Store,Docklands,17,10175.02,True,3008,VIC,Australia,hi,Store,Active,Desktop,inbox.example,1,Monthly
CUS00113,2013-06-23,Silver,Value,18-24,Store,Footscray,4,1743.54,True,3011,VIC,Australia,es,Social,Active,Tablet,inbox.example,1,Quarterly
CUS00114,2015-02-06,Bronze,Small Business,35-44,Mobile,Southbank,17,2083.13,True,3006,VIC,Australia,nl,Paid Search,Active,Mobile,example.net,5+,Essential only
CUS00115,2013-11-05,Silver,Value,35-44,Store,Richmond,18,6346.12,True,3121,VIC,Australia,hi,Paid Search,Active,Mobile,example.net,5+,Quarterly
CUS00116,2016-10-24,Bronze,Value,18-24,Store,Northcote,3,2709.98,True,3070,VIC,Australia,de,Referral,Active,Tablet,mail.test,2,Monthly
CUS00117,2013-08-05,Gold,Mainstream,35-44,Web,Footscray,17,2724.15,False,3011,VIC,Australia,nl,Referral,Active,Tablet,inbox.example,2,Essential only
CUS00118,2017-03-01,Gold,Small Business,25-34,Mobile,Northcote,13,11678.22,True,3070,VIC,Australia,ar,Social,Active,Tablet,example.net,5+,Essential only
CUS00119,2015-06-11,Platinum,Premium,45-54,Mobile,Carlton,0,461.69,True,3053,VIC,Australia,hi,Referral,Active,Mobile,mail.test,2,Essential only
CUS00120,2017-06-02,Bronze,Small Business,55+,Store,Richmond,4,2295.28,True,3121,VIC,Australia,fr,Organic,Active,Desktop,inbox.example,2,Monthly
CUS00121,2014-09-22,Silver,Value,45-54,Mobile,Docklands,0,312.49,False,3008,VIC,Australia,es,Store,Active,Desktop,example.net,3-4,Essential only
CUS00122,2014-05-02,Bronze,Mainstream,25-34,Mobile,Footscray,8,1832.46,True,3011,VIC,Australia,pl,Store,Active,Mobile,inbox.example,3-4,Monthly
CUS00123,2015-11-27,Gold,Mainstream,18-24,Mobile,Hawthorn,0,580.67,False,3122,VIC,Australia,it,Organic,Active,Desktop,mail.test,1,Monthly
CUS00124,2016-11-03,Silver,Value,25-34,Store,Northcote,12,4746.37,True,3070,VIC,Australia,ru,Referral,Active,Desktop,example.net,5+,Quarterly
CUS00125,2016-02-18,Silver,Small Business,25-34,Store,Footscray,1,1764.22,True,3011,VIC,Australia,zh,Organic,Active,Tablet,mail.test,5+,Essential only
CUS00126,2015-10-23,Silver,Premium,45-54,Web,Footscray,17,12912.06,False,3011,VIC,Australia,zh,Referral,Active,Tablet,example.net,1,Weekly
CUS00127,2014-02-10,Bronze,Small Business,18-24,Store,Carlton,10,7603.51,False,3053,VIC,Australia,pt,Store,Active,Mobile,example.net,5+,Monthly
CUS00128,2016-05-21,Bronze,Value,25-34,Mobile,St Kilda,6,2122.49,True,3182,VIC,Australia,en,Store,Active,Desktop,inbox.example,3-4,Essential only
CUS00129,2015-07-08,Silver,Premium,55+,Web,Melbourne,16,12610.25,True,3000,VIC,Australia,fr,Referral,Active,Mobile,mail.test,2,Weekly
CUS00130,2017-09-23,Bronze,Mainstream,35-44,Web,Northcote,16,7402.0,True,3070,VIC,Australia,en,Store,Active,Mobile,inbox.example,2,Essential only
CUS00131,2013-07-03,Silver,Value,35-44,Mobile,Carlton,10,1910.98,False,3053,VIC,Australia,nl,Store,Active,Desktop,mail.test,3-4,Monthly
CUS00132,2015-04-19,Bronze,Value,45-54,Web,Southbank,12,4663.96,True,3006,VIC,Australia,ja,Organic,Dormant,Tablet,inbox.example,1,Monthly
CUS00133,2016-05-23,Gold,Small Business,18-24,Mobile,Melbourne,0,456.09,True,3000,VIC,Australia,nl,Paid Search,Active,Tablet,example.net,1,Essential only
CUS00134,2015-03-12,Silver,Small Business,45-54,Mobile,St Kilda,2,1952.12,True,3182,VIC,Australia,fr,Paid Search,Active,Desktop,mail.test,2,Monthly
CUS00135,2014-01-23,Silver,Value,45-54,Web,Melbourne,9,5725.29,True,3000,VIC,Australia,es,Social,Active,Desktop,mail.test,3-4,Weekly
CUS00136,2014-03-11,Bronze,Mainstream,25-34,Store,Richmond,7,6934.96,True,3121,VIC,Australia,nl,Social,Active,Desktop,inbox.example,5+,Essential only
CUS00137,2016-08-15,Gold,Small Business,45-54,Mobile,Southbank,7,5442.23,True,3006,VIC,Australia,fr,Social,Active,Desktop,mail.test,5+,Monthly
CUS00138,2015-02-21,Silver,Small Business,45-54,Store,Footscray,11,6427.36,True,3011,VIC,Australia,ja,Store,Active,Desktop,mail.test,3-4,Monthly
CUS00139,2017-04-15,Bronze,Mainstream,25-34,Mobile,Southbank,13,2724.07,True,3006,VIC,Australia,pl,Social,Active,Desktop,inbox.example,1,Weekly
CUS00140,2017-11-22,Bronze,Premium,18-24,Mobile,Footscray,21,4148.14,False,3011,VIC,Australia,it,Organic,Active,Desktop,mail.test,1,Weekly
CUS00141,2014-12-21,Bronze,Value,55+,Store,Carlton,4,1848.6,True,3053,VIC,Australia,de,Referral,Active,Mobile,mail.test,1,Monthly
CUS00142,2013-09-02,Bronze,Value,18-24,Web,Docklands,3,2974.31,True,3008,VIC,Australia,it,Social,Active,Desktop,mail.test,5+,Monthly
CUS00143,2014-01-06,Gold,Premium,25-34,Web,Northcote,6,652.17,False,3070,VIC,Australia,it,Organic,Active,Tablet,example.net,3-4,Weekly
CUS00144,2017-08-23,Bronze,Premium,45-54,Web,Footscray,9,2594.71,True,3011,VIC,Australia,it,Organic,Active,Desktop,example.net,3-4,Essential only
CUS00145,2014-09-08,Bronze,Mainstream,45-54,Store,Carlton,19,11611.83,True,3053,VIC,Australia,ru,Store,Active,Mobile,inbox.example,3-4,Essential only
CUS00146,2017-05-12,Gold,Value,18-24,Web,St Kilda,2,2205.01,True,3182,VIC,Australia,zh,Referral,Active,Desktop,inbox.example,2,Quarterly
CUS00147,2014-04-04,Bronze,Premium,18-24,Store,Northcote,15,9534.01,True,3070,VIC,Australia,de,Store,Active,Desktop,example.net,5+,Monthly
CUS00148,2017-05-12,Gold,Premium,55+,Mobile,St Kilda,1,1440.22,True,3182,VIC,Australia,it,Paid Search,Active,Tablet,mail.test,1,Monthly
CUS00149,2013-12-01,Gold,Value,35-44,Store,Melbourne,1,1739.04,True,3000,VIC,Australia,hi,Store,Active,Desktop,inbox.example,2,Essential only
CUS00150,2015-10-20,Bronze,Value,35-44,Mobile,Richmond,20,12871.38,True,3121,VIC,Australia,de,Organic,Active,Mobile,mail.test,3-4,Weekly
CUS00151,2014-09-17,Bronze,Small Business,25-34,Web,Footscray,4,3021.5,True,3011,VIC,Australia,fr,Store,Active,Desktop,example.net,2,Quarterly
CUS00152,2016-10-09,Silver,Value,25-34,Web,Footscray,19,4062.8,True,3011,VIC,Australia,en,Paid Search,Active,Desktop,mail.test,2,Monthly
CUS00153,2013-08-23,Bronze,Value,35-44,Web,Hawthorn,1,620.0,False,3122,VIC,Australia,it,Referral,Active,Tablet,mail.test,3-4,Weekly
CUS00154,2017-01-15,Gold,Value,18-24,Store,Southbank,7,7066.31,True,3006,VIC,Australia,nl,Store,Active,Tablet,mail.test,3-4,Monthly
CUS00155,2016-06-06,Bronze,Premium,45-54,Mobile,Northcote,10,3662.73,False,3070,VIC,Australia,fr,Social,Active,Mobile,mail.test,3-4,Essential only
CUS00156,2014-09-08,Gold,Value,25-34,Mobile,St Kilda,14,7519.88,True,3182,VIC,Australia,ar,Referral,Active,Desktop,inbox.example,2,Essential only
CUS00157,2014-01-14,Silver,Premium,45-54,Store,Richmond,11,6453.22,True,3121,VIC,Australia,pl,Organic,Dormant,Tablet,inbox.example,3-4,Monthly
CUS00158,2015-10-22,Bronze,Small Business,25-34,Mobile,Carlton,7,5620.96,False,3053,VIC,Australia,ar,Paid Search,Active,Tablet,example.net,1,Quarterly
CUS00159,2017-04-05,Silver,Value,45-54,Mobile,Footscray,7,2837.65,False,3011,VIC,Australia,en,Store,Dormant,Tablet,mail.test,3-4,Monthly
CUS00160,2016-08-23,Silver,Premium,55+,Mobile,Docklands,14,6348.1,True,3008,VIC,Australia,en,Social,Active,Tablet,mail.test,2,Quarterly
CUS00161,2015-07-07,Gold,Mainstream,35-44,Store,Footscray,17,11821.32,True,3011,VIC,Australia,it,Referral,Active,Tablet,inbox.example,5+,Weekly
CUS00162,2014-11-26,Bronze,Premium,55+,Web,St Kilda,5,4646.75,True,3182,VIC,Australia,ar,Paid Search,Active,Mobile,inbox.example,5+,Weekly
CUS00163,2015-09-01,Gold,Mainstream,35-44,Mobile,Richmond,17,5278.84,True,3121,VIC,Australia,it,Store,Dormant,Mobile,inbox.example,1,Essential only
CUS00164,2014-07-01,Bronze,Premium,55+,Mobile,St Kilda,11,4623.99,True,3182,VIC,Australia,fr,Store,Active,Mobile,inbox.example,2,Weekly
CUS00165,2015-03-22,Silver,Mainstream,18-24,Web,Melbourne,4,1239.67,True,3000,VIC,Australia,ru,Organic,Active,Tablet,inbox.example,1,Monthly
CUS00166,2013-05-18,Silver,Mainstream,18-24,Web,Brunswick,16,11046.86,True,3056,VIC,Australia,en,Paid Search,Active,Desktop,example.net,1,Monthly
