order_id,source_system_record_id,customer_id,order_timestamp,sales_channel,payment_method,currency,nearest_warehouse,order_status,order_price,delivery_charges,coupon_code,coupon_discount,tax_amount,order_total,season,expedited_delivery,customer_lat,customer_long,device_type,referral_source,customer_note_clean,promo_code
HORD001280,SRC-001-H-001280,CUS00381,2018-12-23 17:37:00,Web,Gift Card,AUD,Bakers,Completed,2885.68,13.02,B1SAVE-89,15.0,262.33,2465.85,Summer,False,-37.766886,145.055972,Mobile,Social,gift purchase for a family member,B1SAVE-89
HORD000457,SRC-001-H-000457,CUS00400,2018-08-23 12:21:00,Store,Bank Transfer,AUD,Bakers,Completed,3175.37,11.2,B1SAVE-66,25.0,288.67,2392.73,Winter,False,-37.822693,144.994591,Desktop,Social,gift purchase for a family member,B1SAVE-66
HORD002987,SRC-001-H-002987,CUS00165,2018-07-12 13:02:00,Mobile,Bank Transfer,AUD,Bakers,Completed,870.85,12.68,NaN,5.0,79.17,839.99,Winter,False,-37.838238,144.998187,Tablet,Organic,please use minimal packaging,NaN
HORD000665,SRC-001-H-000665,CUS00415,2018-11-14 19:44:00,Mobile,Card,AUD,Thompson,Completed,1978.7,9.78,NaN,10.0,179.88,1790.61,Spring,False,-37.788327,144.929471,Desktop,Referral,call before delivery,NaN
HORD001762,SRC-001-H-001762,CUS00208,2018-08-20 11:41:00,Mobile,PayPal,AUD,Thompson,Completed,2597.96,14.1,NaN,5.0,236.18,2482.16,Winter,False,-37.832909,144.898421,Desktop,Store,no special instruction,NaN
HORD003336,SRC-001-H-003336,CUS00417,2018-11-25 19:00:00,Mobile,Card,AUD,Bakers,Completed,994.26,9.07,B1SAVE-65,20.0,90.39,804.48,Spring,False,-37.826418,145.008265,Mobile,Store,call before delivery,B1SAVE-65
HORD001356,SRC-001-H-001356,CUS00118,2018-05-23 17:05:00,Mobile,Card,AUD,Bakers,Completed,4818.67,23.59,NaN,10.0,438.06,4360.39,Autumn,True,-37.755253,145.038234,Tablet,Social,no special instruction,NaN
HORD003403,SRC-001-H-003403,CUS00115,2018-04-17 09:29:00,Store,Card,AUD,Bakers,Completed,1987.93,22.11,NaN,0.0,180.72,2010.04,Autumn,True,-37.767044,145.020419,Mobile,Paid Search,please use minimal packaging,NaN
HORD002725,SRC-001-H-002725,CUS00051,2018-06-14 15:22:00,Web,Card,AUD,Nickolson,Completed,450.98,27.73,B1SAVE-14,25.0,41.0,365.97,Winter,True,-37.867993,144.979995,Tablet,Store,call before delivery,B1SAVE-14
HORD004618,SRC-001-H-004618,CUS00300,2018-11-16 20:15:00,Web,Gift Card,AUD,Bakers,Completed,3159.61,9.14,NaN,10.0,287.24,2852.79,Spring,False,-37.830051,144.998099,Tablet,Store,please use minimal packaging,NaN
HORD000081,SRC-001-H-000081,CUS00184,2018-05-26 21:39:00,Store,Card,AUD,Bakers,Completed,7199.31,12.23,NaN,5.0,654.48,6851.57,Autumn,False,-37.773142,145.055604,Desktop,Referral,no special instruction,NaN
HORD000009,SRC-001-H-000009,CUS00057,2018-05-31 09:13:00,Web,PayPal,AUD,Bakers,Completed,397.28,9.11,B1SAVE-18,20.0,36.12,326.93,Autumn,False,-37.834288,144.994613,Tablet,Paid Search,call before delivery,B1SAVE-18
HORD003561,SRC-001-H-003561,CUS00105,2018-02-01 10:40:00,Mobile,Bank Transfer,AUD,Bakers,Completed,3301.38,12.12,B1SAVE-50,15.0,300.13,2818.29,Summer,False,-37.784609,145.054004,Desktop,Organic,please leave at reception,B1SAVE-50
HORD002273,SRC-001-H-002273,CUS00417,2018-12-15 19:31:00,Mobile,Bank Transfer,AUD,Bakers,Completed,4871.02,9.51,NaN,5.0,442.82,4636.98,Summer,False,-37.826418,145.008265,Mobile,Store,call before delivery,NaN
HORD000113,SRC-001-H-000113,CUS00227,2018-02-12 11:33:00,Store,Bank Transfer,AUD,Nickolson,Completed,2504.47,13.51,B1SAVE-42,15.0,227.68,2142.31,Summer,False,-37.883268,144.933051,Mobile,Referral,no special instruction,B1SAVE-42
HORD001946,SRC-001-H-001946,CUS00099,2018-08-01 11:57:00,Web,Card,AUD,Nickolson,Completed,2549.87,28.98,B1SAVE-35,20.0,231.81,2068.88,Winter,True,-37.881217,144.980975,Mobile,Social,gift purchase for a family member,B1SAVE-35
HORD003504,SRC-001-H-003504,CUS00099,2018-02-28 10:21:00,Web,Card,AUD,Nickolson,Completed,2528.56,12.92,NaN,0.0,229.87,2541.48,Summer,False,-37.881217,144.980975,Mobile,Social,please use minimal packaging,NaN
HORD002898,SRC-001-H-002898,CUS00069,2018-11-26 12:27:00,Mobile,PayPal,AUD,Thompson,Completed,2713.3,13.1,NaN,10.0,246.66,2455.07,Spring,False,-37.856346,144.879379,Tablet,Organic,please leave at reception,NaN
HORD003092,SRC-001-H-003092,CUS00146,2018-02-09 15:12:00,Web,Card,AUD,Nickolson,Completed,2024.75,8.75,NaN,0.0,184.07,2033.5,Summer,False,-37.826391,144.962398,Desktop,Referral,no special instruction,NaN
HORD004918,SRC-001-H-004918,CUS00188,2018-08-04 15:10:00,Mobile,PayPal,AUD,Nickolson,Completed,5539.67,15.26,NaN,10.0,503.61,5000.96,Winter,False,-37.872868,144.954082,Mobile,Referral,please use minimal packaging,NaN
HORD000485,SRC-001-H-000485,CUS00004,2018-07-25 08:10:00,Store,Card,AUD,Thompson,Completed,1286.86,14.2,NaN,0.0,116.99,1301.06,Winter,False,-37.852041,144.920927,Desktop,Organic,please use minimal packaging,NaN
HORD003218,SRC-001-H-003218,CUS00444,2018-04-08 19:25:00,Web,Card,AUD,Thompson,Completed,396.62,11.73,NaN,0.0,36.06,408.35,Autumn,False,-37.846121,144.892599,Mobile,Organic,gift purchase for a family member,NaN
HORD004234,SRC-001-H-004234,CUS00084,2018-11-28 13:06:00,Store,Bank Transfer,AUD,Nickolson,Completed,1258.58,12.62,NaN,5.0,114.42,1208.27,Spring,False,-37.881255,144.978237,Desktop,Organic,gift purchase for a family member,NaN
HORD004209,SRC-001-H-004209,CUS00007,2018-10-15 10:50:00,Store,PayPal,AUD,Bakers,Completed,2757.96,11.13,B1SAVE-58,15.0,250.72,2355.4,Spring,False,-37.799444,145.05018,Tablet,Social,please leave at reception,B1SAVE-58
HORD002513,SRC-001-H-002513,CUS00207,2018-04-02 09:20:00,Store,Card,AUD,Thompson,Completed,2574.95,14.6,NaN,5.0,234.09,2460.8,Autumn,False,-37.883103,144.880952,Mobile,Paid Search,gift purchase for a family member,NaN
HORD001602,SRC-001-H-001602,CUS00460,2018-09-14 09:23:00,Web,Gift Card,AUD,Nickolson,Completed,1311.04,12.73,NaN,0.0,119.19,1323.77,Spring,False,-37.878448,144.939248,Mobile,Paid Search,no special instruction,NaN
HORD003209,SRC-001-H-003209,CUS00286,2018-02-06 09:12:00,Web,Bank Transfer,AUD,Bakers,Completed,578.81,21.1,NaN,0.0,52.62,599.91,Summer,True,-37.784787,145.034329,Desktop,Store,please leave at reception,NaN
HORD003010,SRC-001-H-003010,CUS00133,2018-04-12 18:52:00,Store,Bank Transfer,AUD,Bakers,Completed,5786.94,11.67,B1SAVE-59,25.0,526.09,4351.88,Autumn,False,-37.757557,145.010978,Tablet,Paid Search,call before delivery,B1SAVE-59
HORD004995,SRC-001-H-004995,CUS00040,2018-03-13 13:00:00,Mobile,PayPal,AUD,Thompson,Completed,387.39,11.17,NaN,10.0,35.22,359.82,Autumn,False,-37.806035,144.886866,Desktop,Store,please leave at reception,NaN
HORD002388,SRC-001-H-002388,CUS00028,2018-04-22 12:31:00,Mobile,Bank Transfer,AUD,Bakers,Completed,4387.19,11.07,NaN,0.0,398.84,4398.26,Autumn,False,-37.794368,145.051223,Mobile,Paid Search,no special instruction,NaN
HORD004568,SRC-001-H-004568,CUS00339,2018-08-03 12:02:00,Web,PayPal,AUD,Bakers,Completed,694.57,16.04,NaN,0.0,63.14,710.61,Winter,False,-37.746355,145.002939,Mobile,Store,gift purchase for a family member,NaN
HORD000680,SRC-001-H-000680,CUS00074,2018-10-06 09:10:00,Mobile,Gift Card,AUD,Bakers,Completed,1575.65,23.6,NaN,10.0,143.24,1441.68,Spring,True,-37.755359,145.04865,Tablet,Social,call before delivery,NaN
HORD004120,SRC-001-H-004120,CUS00206,2018-09-28 21:46:00,Store,Bank Transfer,AUD,Bakers,Completed,1248.45,10.71,NaN,0.0,113.5,1259.16,Spring,False,-37.783473,145.032339,Mobile,Social,no special instruction,NaN
HORD001247,SRC-001-H-001247,CUS00432,2018-12-21 09:20:00,Mobile,PayPal,AUD,Thompson,Completed,827.38,11.33,NaN,0.0,75.22,838.71,Summer,False,-37.807126,144.893305,Mobile,Paid Search,please leave at reception,NaN
HORD004812,SRC-001-H-004812,CUS00036,2018-11-02 19:14:00,Mobile,Card,AUD,Thompson,Completed,4636.3,9.49,NaN,5.0,421.48,4413.97,Spring,False,-37.837097,144.944954,Desktop,Organic,gift purchase for a family member,NaN
HORD000987,SRC-001-H-000987,CUS00449,2018-07-06 09:52:00,Store,Bank Transfer,AUD,Bakers,Completed,4922.49,11.05,NaN,0.0,447.5,4933.54,Winter,False,-37.817837,144.985203,Tablet,Referral,gift purchase for a family member,NaN
HORD002420,SRC-001-H-002420,CUS00148,2018-02-07 11:59:00,Store,Gift Card,AUD,Bakers,Completed,1741.27,11.56,NaN,10.0,158.3,1578.7,Summer,False,-37.765566,145.008649,Tablet,Paid Search,please use minimal packaging,NaN
HORD000766,SRC-001-H-000766,CUS00184,2018-08-15 17:15:00,Store,Gift Card,AUD,Bakers,Completed,1488.02,28.7,B1SAVE-55,15.0,135.27,1293.52,Winter,True,-37.773142,145.055604,Desktop,Referral,call before delivery,B1SAVE-55
HORD001689,SRC-001-H-001689,CUS00055,2018-11-18 16:24:00,Web,Card,AUD,Nickolson,Completed,7474.99,8.41,B1SAVE-18,20.0,679.54,5988.4,Spring,False,-37.821722,144.955951,Tablet,Store,no special instruction,B1SAVE-18
HORD004199,SRC-001-H-004199,CUS00342,2018-02-26 09:27:00,Web,PayPal,AUD,Bakers,Completed,1894.31,10.58,NaN,0.0,172.21,1904.89,Summer,False,-37.782672,144.971478,Tablet,Organic,call before delivery,NaN
HORD004904,SRC-001-H-004904,CUS00187,2018-11-03 13:12:00,Web,Bank Transfer,AUD,Bakers,Completed,7415.62,12.85,NaN,0.0,674.15,7428.47,Spring,False,-37.862043,145.046368,Tablet,Organic,please use minimal packaging,NaN
HORD002983,SRC-001-H-002983,CUS00405,2018-02-10 21:29:00,Mobile,PayPal,AUD,Thompson,Completed,3499.5,12.29,NaN,10.0,318.14,3161.84,Summer,False,-37.75765,144.942316,Tablet,Social,no special instruction,NaN
HORD003689,SRC-001-H-003689,CUS00132,2018-07-10 18:25:00,Mobile,Card,AUD,Bakers,Completed,417.77,12.27,NaN,10.0,37.98,388.26,Winter,False,-37.798566,145.021993,Tablet,Organic,no special instruction,NaN
HORD000913,SRC-001-H-000913,CUS00054,2018-11-09 21:47:00,Store,Card,AUD,Thompson,Completed,1218.87,10.84,B1SAVE-42,15.0,110.81,1046.88,Spring,False,-37.814401,144.895105,Tablet,Social,call before delivery,B1SAVE-42
HORD003548,SRC-001-H-003548,CUS00286,2018-01-31 12:27:00,Store,Bank Transfer,AUD,Bakers,Completed,2625.33,11.1,NaN,0.0,238.67,2636.43,Summer,False,-37.784787,145.034329,Desktop,Store,gift purchase for a family member,NaN
HORD004384,SRC-001-H-004384,CUS00491,2018-04-24 14:42:00,Web,Bank Transfer,AUD,Bakers,Completed,19.84,8.53,B1SAVE-73,25.0,1.8,23.41,Autumn,False,-37.821041,145.01257,Tablet,Organic,please use minimal packaging,B1SAVE-73
HORD001053,SRC-001-H-001053,CUS00433,2018-03-07 21:42:00,Web,Gift Card,AUD,Nickolson,Completed,300.2,8.5,B1SAVE-22,20.0,27.29,248.66,Autumn,False,-37.833151,144.981413,Mobile,Organic,call before delivery,B1SAVE-22
HORD001626,SRC-001-H-001626,CUS00345,2018-09-20 20:28:00,Mobile,Gift Card,AUD,Nickolson,Completed,6564.49,10.29,NaN,10.0,596.77,5918.33,Spring,False,-37.85289,144.973151,Mobile,Organic,gift purchase for a family member,NaN
HORD003091,SRC-001-H-003091,CUS00177,2018-05-29 13:09:00,Web,Bank Transfer,AUD,Thompson,Completed,2436.54,13.26,NaN,10.0,221.5,2206.15,Autumn,False,-37.755173,144.891895,Desktop,Referral,gift purchase for a family member,NaN
HORD000263,SRC-001-H-000263,CUS00438,2018-01-30 09:37:00,Mobile,PayPal,AUD,Thompson,Completed,6961.55,12.41,B1SAVE-32,20.0,632.87,5581.65,Summer,False,-37.797821,144.877905,Desktop,Paid Search,gift purchase for a family member,B1SAVE-32
HORD001460,SRC-001-H-001460,CUS00360,2018-05-03 21:57:00,Mobile,Card,AUD,Bakers,Completed,4550.25,7.65,NaN,10.0,413.66,4102.88,Autumn,False,-37.814848,145.002481,Tablet,Social,gift purchase for a family member,NaN
HORD002872,SRC-001-H-002872,CUS00435,2018-10-04 21:24:00,Web,Card,AUD,Bakers,Completed,4005.52,9.67,NaN,0.0,364.14,4015.19,Spring,False,-37.783511,144.991132,Desktop,Store,no special instruction,NaN
HORD004674,SRC-001-H-004674,CUS00068,2018-01-03 15:48:00,Store,Card,AUD,Bakers,Completed,2952.87,11.11,NaN,0.0,268.44,2963.98,Summer,False,-37.841096,145.027095,Mobile,Organic,please leave at reception,NaN
HORD004091,SRC-001-H-004091,CUS00066,2018-05-10 21:15:00,Web,Bank Transfer,AUD,Bakers,Completed,4747.69,8.41,B1SAVE-20,15.0,431.61,4043.95,Autumn,False,-37.794196,144.990654,Desktop,Paid Search,please use minimal packaging,B1SAVE-20
HORD003176,SRC-001-H-003176,CUS00104,2018-03-20 14:18:00,Web,Gift Card,AUD,Nickolson,Completed,4830.79,7.7,NaN,0.0,439.16,4838.49,Autumn,False,-37.813272,144.977154,Tablet,Store,gift purchase for a family member,NaN
HORD000135,SRC-001-H-000135,CUS00074,2018-05-02 16:00:00,Mobile,Bank Transfer,AUD,Bakers,Completed,3470.79,12.99,NaN,10.0,315.53,3136.7,Autumn,False,-37.755359,145.04865,Tablet,Social,please use minimal packaging,NaN
HORD000456,SRC-001-H-000456,CUS00148,2018-03-28 11:07:00,Mobile,Card,AUD,Bakers,Completed,2168.39,10.96,NaN,5.0,197.13,2070.93,Autumn,False,-37.765566,145.008649,Tablet,Paid Search,please leave at reception,NaN
HORD000386,SRC-001-H-000386,CUS00013,2018-08-17 13:24:00,Mobile,Card,AUD,Nickolson,Completed,4169.17,23.77,NaN,5.0,379.02,3984.48,Winter,True,-37.819725,144.959293,Tablet,Organic,gift purchase for a family member,NaN
HORD002160,SRC-001-H-002160,CUS00389,2018-09-19 15:55:00,Store,Gift Card,AUD,Thompson,Completed,956.65,13.94,NaN,10.0,86.97,874.93,Spring,False,-37.741205,144.903455,Tablet,Organic,no special instruction,NaN
HORD004921,SRC-001-H-004921,CUS00189,2018-03-25 16:34:00,Store,Gift Card,AUD,Thompson,Completed,4018.57,14.45,NaN,10.0,365.32,3631.16,Autumn,False,-37.746614,144.877604,Mobile,Social,please use minimal packaging,NaN
HORD001846,SRC-001-H-001846,CUS00015,2018-03-25 12:04:00,Web,Card,AUD,Thompson,Completed,2255.86,13.23,B1SAVE-15,20.0,205.08,1817.92,Autumn,False,-37.866316,144.886543,Desktop,Paid Search,please use minimal packaging,B1SAVE-15
HORD004453,SRC-001-H-004453,CUS00019,2018-05-20 13:15:00,Web,Bank Transfer,AUD,Nickolson,Completed,3554.81,21.96,NaN,0.0,323.16,3576.77,Autumn,True,-37.862379,144.985826,Desktop,Store,call before delivery,NaN
HORD002462,SRC-001-H-002462,CUS00057,2018-04-25 21:32:00,Store,PayPal,AUD,Bakers,Completed,676.14,9.11,B1SAVE-71,15.0,61.47,583.83,Autumn,False,-37.834288,144.994613,Tablet,Paid Search,please use minimal packaging,B1SAVE-71
HORD001098,SRC-001-H-001098,CUS00094,2018-08-02 16:57:00,Mobile,Bank Transfer,AUD,Bakers,Completed,433.99,28.81,B1SAVE-67,20.0,39.45,376.0,Winter,True,-37.748665,144.990915,Tablet,Paid Search,please use minimal packaging,B1SAVE-67
HORD000484,SRC-001-H-000484,CUS00198,2018-08-06 10:34:00,Mobile,Gift Card,AUD,Thompson,Completed,2618.1,11.43,B1SAVE-13,20.0,238.01,2105.91,Winter,False,-37.819558,144.929989,Mobile,Referral,call before delivery,B1SAVE-13
HORD000992,SRC-001-H-000992,CUS00150,2018-05-09 08:02:00,Store,Bank Transfer,AUD,Thompson,Completed,2042.45,11.15,NaN,10.0,185.68,1849.36,Autumn,False,-37.809845,144.886586,Mobile,Organic,please use minimal packaging,NaN
HORD003357,SRC-001-H-003357,CUS00366,2018-05-06 10:13:00,Store,Card,AUD,Nickolson,Completed,291.85,9.84,NaN,10.0,26.53,272.5,Autumn,False,-37.85036,144.979572,Tablet,Store,gift purchase for a family member,NaN
HORD003889,SRC-001-H-003889,CUS00331,2018-04-28 21:12:00,Web,Gift Card,AUD,Thompson,Completed,498.33,11.67,NaN,10.0,45.3,460.17,Autumn,False,-37.84544,144.892955,Tablet,Store,please use minimal packaging,NaN
HORD004004,SRC-001-H-004004,CUS00219,2018-04-22 10:20:00,Mobile,Gift Card,AUD,Thompson,Completed,5047.13,9.89,NaN,0.0,458.83,5057.02,Autumn,False,-37.83693,144.918129,Mobile,Social,gift purchase for a family member,NaN
HORD001282,SRC-001-H-001282,CUS00142,2018-05-21 18:54:00,Store,Gift Card,AUD,Bakers,Completed,7446.12,14.52,NaN,0.0,676.92,7460.64,Autumn,False,-37.743075,145.06495,Desktop,Social,please use minimal packaging,NaN
HORD000352,SRC-001-H-000352,CUS00410,2018-05-22 19:38:00,Mobile,Gift Card,AUD,Bakers,Completed,2222.36,14.64,NaN,10.0,202.03,2014.76,Autumn,False,-37.883851,145.055988,Desktop,Paid Search,gift purchase for a family member,NaN
HORD000267,SRC-001-H-000267,CUS00404,2018-04-15 21:41:00,Web,Gift Card,AUD,Bakers,Completed,7314.34,11.01,B1SAVE-36,20.0,664.94,5862.48,Autumn,False,-37.854228,145.012265,Mobile,Referral,no special instruction,B1SAVE-36
HORD003361,SRC-001-H-003361,CUS00305,2018-08-08 14:36:00,Web,Gift Card,AUD,Bakers,Completed,1016.97,26.32,NaN,10.0,92.45,941.59,Winter,True,-37.775139,145.001158,Tablet,Referral,please leave at reception,NaN
HORD002053,SRC-001-H-002053,CUS00333,2018-06-22 11:23:00,Web,Card,AUD,Thompson,Completed,699.82,14.99,B1SAVE-62,15.0,63.62,609.84,Winter,False,-37.7614,144.963167,Mobile,Paid Search,gift purchase for a family member,B1SAVE-62
HORD001569,SRC-001-H-001569,CUS00379,2018-04-04 17:31:00,Store,PayPal,AUD,Thompson,Completed,1920.74,23.98,B1SAVE-58,15.0,174.61,1656.61,Autumn,True,-37.744015,144.939266,Mobile,Paid Search,call before delivery,B1SAVE-58
HORD003399,SRC-001-H-003399,CUS00448,2018-10-07 20:53:00,Store,Gift Card,AUD,Thompson,Completed,1123.01,10.19,B1SAVE-48,20.0,102.09,908.6,Spring,False,-37.793524,144.912788,Mobile,Paid Search,please use minimal packaging,B1SAVE-48
HORD000803,SRC-001-H-000803,CUS00269,2018-12-27 15:02:00,Store,PayPal,AUD,Thompson,Completed,4742.54,11.87,NaN,0.0,431.14,4754.41,Summer,False,-37.851923,144.90831,Mobile,Organic,gift purchase for a family member,NaN
HORD002899,SRC-001-H-002899,CUS00336,2018-11-15 16:34:00,Web,Bank Transfer,AUD,Thompson,Completed,4124.77,8.94,NaN,10.0,374.98,3721.23,Spring,False,-37.830465,144.946703,Desktop,Store,call before delivery,NaN
HORD001586,SRC-001-H-001586,CUS00478,2018-08-07 16:14:00,Mobile,Gift Card,AUD,Thompson,Completed,2059.86,14.47,NaN,5.0,187.26,1971.34,Winter,False,-37.850843,144.91165,Desktop,Referral,please leave at reception,NaN
HORD004279,SRC-001-H-004279,CUS00440,2018-12-23 10:25:00,Web,Card,AUD,Bakers,Completed,1883.91,12.45,B1SAVE-48,15.0,171.26,1613.77,Summer,False,-37.855669,145.038754,Mobile,Organic,call before delivery,B1SAVE-48
HORD001911,SRC-001-H-001911,CUS00208,2018-07-27 11:03:00,Mobile,Bank Transfer,AUD,Thompson,Completed,9293.94,14.1,NaN,0.0,844.9,9308.04,Winter,False,-37.832909,144.898421,Desktop,Store,call before delivery,NaN
HORD004529,SRC-001-H-004529,CUS00353,2018-12-28 10:22:00,Store,Gift Card,AUD,Thompson,Completed,724.15,11.28,NaN,0.0,65.83,735.43,Summer,False,-37.854497,144.94108,Desktop,Organic,please use minimal packaging,NaN
HORD003539,SRC-001-H-003539,CUS00499,2018-09-03 20:55:00,Store,Bank Transfer,AUD,Thompson,Completed,6962.89,12.69,NaN,10.0,632.99,6279.29,Spring,False,-37.748765,144.943502,Tablet,Store,please leave at reception,NaN
HORD000993,SRC-001-H-000993,CUS00325,2018-05-17 20:11:00,Web,Gift Card,AUD,Thompson,Completed,3523.21,10.15,NaN,5.0,320.29,3357.2,Autumn,False,-37.793715,144.907829,Tablet,Social,please leave at reception,NaN
HORD004406,SRC-001-H-004406,CUS00042,2018-12-21 10:53:00,Store,Card,AUD,Nickolson,Completed,671.24,12.26,B1SAVE-15,15.0,61.02,582.81,Summer,False,-37.867922,144.999619,Tablet,Paid Search,gift purchase for a family member,B1SAVE-15
HORD002464,SRC-001-H-002464,CUS00483,2018-02-12 10:03:00,Store,Card,AUD,Bakers,Completed,1104.62,11.8,NaN,5.0,100.42,1061.19,Summer,False,-37.832258,145.050286,Tablet,Organic,please use minimal packaging,NaN
HORD001515,SRC-001-H-001515,CUS00358,2018-02-11 12:33:00,Mobile,Card,AUD,Bakers,Completed,2613.2,22.5,B1SAVE-84,15.0,237.56,2243.72,Summer,True,-37.846773,145.051682,Desktop,Store,call before delivery,B1SAVE-84
HORD002766,SRC-001-H-002766,CUS00338,2018-03-20 14:54:00,Web,Card,AUD,Thompson,Completed,2471.82,13.72,NaN,0.0,224.71,2485.54,Autumn,False,-37.874919,144.888747,Tablet,Paid Search,gift purchase for a family member,NaN
