product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag,product_description_clean
PRD0011,Candle Vista 110,Laptop,Candle,1900.95,1072.32,2014,24,1.704,SKU-CAN00011,Ultrabook,Orbit,Green,SUP011,Japan,2014-07-08,GST_STANDARD,Recycled box,True,True,"ultrabook designed for study, research and note taking, in the orbit family and supplied by candle with a 24-month warranty."
PRD0012,Vela Core 111,Smartphone,Vela,426.8,239.67,2017,24,0.247,SKU-VEL00012,5G Smartphone,Pulse,Gold,SUP012,Malaysia,2017-12-26,GST_STANDARD,Box,True,True,"5g smartphone designed for mobile photography and messaging, in the pulse family and supplied by vela with a 24-month warranty."
PRD0013,Candle Lumen 112,Tablet,Candle,1325.85,646.1,2015,24,0.66,SKU-CAN00013,Productivity Tablet,Quest,Red,SUP013,Malaysia,2015-11-15,GST_STANDARD,Box,True,True,"productivity tablet designed for portable media and video calls, in the quest family and supplied by candle with a 24-month warranty."
PRD0014,Vela Ridge 113,Home Entertainment,Vela,1339.17,983.21,2016,24,8.331,SKU-VEL00014,Smart Display,Ridge,Black,SUP014,Japan,2016-09-01,GST_STANDARD,Box,True,True,"smart display designed for music and spoken-content playback, in the ridge family and supplied by vela with a 24-month warranty."
PRD0015,Candle Arc 114,Audio,Candle,238.76,119.19,2014,12,0.612,SKU-CAN00015,Wireless Audio,Shift,Gold,SUP015,Vietnam,2014-03-24,GST_STANDARD,Protective case,False,True,"wireless audio designed for music during focused desk work, in the shift family and supplied by candle with a 12-month warranty."
PRD0016,Vela Echo 115,Smart Home,Vela,594.47,346.77,2014,12,0.341,SKU-VEL00016,Home Automation,Spark,Gold,SUP016,Australia,2014-01-01,GST_STANDARD,Box,True,True,"home automation designed for scheduled control of a household power outlet, in the spark family and supplied by vela with a 12-month warranty."
PRD0017,Candle Orbit 116,Gaming,Candle,1979.17,1149.19,2012,24,1.157,SKU-CAN00017,Gaming Hardware,Vista,Blue,SUP017,Korea,2012-09-16,GST_STANDARD,Protective case,False,True,"gaming hardware designed for casual games in a shared room, in the vista family and supplied by candle with a 24-month warranty."
PRD0018,Vela Spark 117,Wearable,Vela,1099.45,648.08,2015,12,0.12,SKU-VEL00018,Health Wearable,Wave,Red,SUP018,Vietnam,2015-08-14,GST_STANDARD,Protective case,True,True,"health wearable designed for walking and commute notifications, in the wave family and supplied by vela with a 12-month warranty."
PRD0019,Candle Bloom 118,Networking,Candle,1401.86,686.4,2013,24,0.714,SKU-CAN00019,Connected Network,Arc,Gold,SUP019,China,2013-02-16,GST_STANDARD,Protective case,True,True,"connected network designed for connecting several shared household devices, in the arc family and supplied by candle with a 24-month warranty."
PRD0020,Vela Halo 119,Accessory,Vela,47.5,33.73,2017,12,0.192,SKU-VEL00020,Mobile Accessory,Atlas,White,SUP020,Korea,2017-03-25,GST_STANDARD,Protective case,True,True,"mobile accessory designed for protective storage during travel, in the atlas family and supplied by vela with a 12-month warranty."
PRD0021,Candle Quest 120,Laptop,Candle,1347.38,915.34,2016,24,1.879,SKU-CAN00021,Ultrabook,Bloom,Graphite,SUP021,Malaysia,2016-06-11,GST_STANDARD,Box,True,True,"ultrabook designed for creative projects and media editing, in the bloom family and supplied by candle with a 24-month warranty."
PRD0022,Vela Wave 121,Smartphone,Vela,1480.38,738.61,2014,24,0.215,SKU-VEL00022,5G Smartphone,Core,Graphite,SUP022,Vietnam,2014-06-21,GST_STANDARD,Box,False,True,"5g smartphone designed for work calls and calendar management, in the core family and supplied by vela with a 24-month warranty."
PRD0023,Candle Edge 122,Tablet,Candle,688.53,517.09,2014,24,0.519,SKU-CAN00023,Productivity Tablet,Edge,Graphite,SUP023,Japan,2014-08-25,GST_STANDARD,Protective case,True,True,"productivity tablet designed for field forms and client presentations, in the edge family and supplied by candle with a 24-month warranty."
PRD0024,Vela Nova 123,Home Entertainment,Vela,2921.86,1754.03,2014,24,5.753,SKU-VEL00024,Smart Display,Echo,White,SUP024,Malaysia,2014-12-27,GST_STANDARD,Recycled box,True,True,"smart display designed for family media streaming, in the echo family and supplied by vela with a 24-month warranty."
PRD0025,Candle Shift 124,Audio,Candle,644.26,333.23,2013,12,0.627,SKU-CAN00025,Wireless Audio,Flux,Graphite,SUP025,Australia,2013-06-07,GST_STANDARD,Box,False,True,"wireless audio designed for video calls and online classes, in the flux family and supplied by candle with a 12-month warranty."
PRD0026,Vela Atlas 125,Smart Home,Vela,760.37,542.72,2015,12,0.467,SKU-VEL00026,Home Automation,Halo,Black,SUP026,Malaysia,2015-06-06,GST_STANDARD,Recycled box,True,True,"home automation designed for indoor temperature and humidity monitoring, in the halo family and supplied by vela with a 12-month warranty."
PRD0027,Candle Flux 126,Gaming,Candle,431.75,261.77,2016,24,1.041,SKU-CAN00027,Gaming Hardware,Lumen,Graphite,SUP027,Korea,2016-02-17,GST_STANDARD,Recycled box,True,True,"gaming hardware designed for competitive play and voice communication, in the lumen family and supplied by candle with a 24-month warranty."
PRD0028,Vela Pulse 127,Wearable,Vela,855.88,528.06,2012,12,0.108,SKU-VEL00028,Health Wearable,Nova,Green,SUP028,Vietnam,2012-11-07,GST_STANDARD,Protective case,False,True,"health wearable designed for exercise session summaries, in the nova family and supplied by vela with a 12-month warranty."
PRD0029,Candle Vista 128,Networking,Candle,1303.04,709.03,2017,24,0.794,SKU-CAN00029,Connected Network,Orbit,Red,SUP029,China,2017-06-07,GST_STANDARD,Box,True,True,"connected network designed for video meetings and media streaming, in the orbit family and supplied by candle with a 24-month warranty."
PRD0030,Vela Core 129,Accessory,Vela,405.09,300.17,2013,12,0.246,SKU-VEL00030,Mobile Accessory,Pulse,Silver,SUP030,China,2013-10-22,GST_STANDARD,Recycled box,True,True,"mobile accessory designed for charging-cable organisation, in the pulse family and supplied by vela with a 12-month warranty."
PRD0031,Candle Lumen 130,Laptop,Candle,1902.42,1056.1,2015,24,1.398,SKU-CAN00031,Ultrabook,Quest,Red,SUP031,Japan,2015-09-10,GST_STANDARD,Box,False,True,"ultrabook designed for shared home-office administration, in the quest family and supplied by candle with a 24-month warranty."
PRD0032,Vela Ridge 131,Smartphone,Vela,1124.96,753.77,2013,24,0.241,SKU-VEL00032,5G Smartphone,Ridge,Red,SUP032,Australia,2013-09-19,GST_STANDARD,Protective case,True,True,"5g smartphone designed for travel planning and media use, in the ridge family and supplied by vela with a 24-month warranty."
PRD0033,Candle Arc 132,Tablet,Candle,822.86,584.76,2013,24,0.587,SKU-CAN00033,Productivity Tablet,Shift,Green,SUP033,Vietnam,2013-02-18,GST_STANDARD,Recycled box,True,True,"productivity tablet designed for family learning and shared browsing, in the shift family and supplied by candle with a 24-month warranty."
PRD0034,Vela Echo 133,Home Entertainment,Vela,780.7,587.18,2014,24,8.347,SKU-VEL00034,Smart Display,Spark,White,SUP034,Vietnam,2014-09-04,GST_STANDARD,Recycled box,True,True,"smart display designed for casual living-room gaming, in the spark family and supplied by vela with a 24-month warranty."
PRD0035,Candle Orbit 134,Audio,Candle,879.72,488.44,2017,12,0.534,SKU-CAN00035,Wireless Audio,Vista,Blue,SUP035,China,2017-12-07,GST_STANDARD,Box,True,True,"wireless audio designed for shared-room music playback, in the vista family and supplied by candle with a 12-month warranty."
PRD0036,Vela Spark 135,Smart Home,Vela,355.76,233.83,2014,12,0.447,SKU-VEL00036,Home Automation,Wave,Black,SUP036,Japan,2014-06-19,GST_STANDARD,Box,True,True,"home automation designed for door and window activity alerts, in the wave family and supplied by vela with a 12-month warranty."
PRD0037,Candle Bloom 136,Gaming,Candle,2028.72,1169.61,2014,24,1.531,SKU-CAN00037,Gaming Hardware,Arc,Red,SUP037,Malaysia,2014-12-10,GST_STANDARD,Recycled box,True,True,"gaming hardware designed for portable gaming and travel, in the arc family and supplied by candle with a 24-month warranty."
PRD0038,Vela Halo 137,Wearable,Vela,769.34,583.52,2014,12,0.14,SKU-VEL00038,Health Wearable,Atlas,White,SUP001,Vietnam,2014-12-02,GST_STANDARD,Recycled box,True,True,"health wearable designed for calendar alerts and quick message checks, in the atlas family and supplied by vela with a 12-month warranty."
PRD0039,Candle Quest 138,Networking,Candle,150.51,105.27,2016,24,0.662,SKU-CAN00039,Connected Network,Bloom,White,SUP002,Vietnam,2016-12-10,GST_STANDARD,Recycled box,True,True,"connected network designed for guest-network and device management, in the bloom family and supplied by candle with a 24-month warranty."
PRD0040,Vela Wave 139,Accessory,Vela,283.76,195.23,2015,12,0.202,SKU-VEL00040,Mobile Accessory,Core,Blue,SUP003,China,2015-03-07,GST_STANDARD,Box,False,True,"mobile accessory designed for connecting several devices through one compact adapter, in the core family and supplied by vela with a 12-month warranty."
PRD0041,Candle Edge 140,Laptop,Candle,2661.08,1556.74,2015,24,2.009,SKU-CAN00041,Ultrabook,Edge,White,SUP004,China,2015-09-24,GST_STANDARD,Recycled box,True,True,"ultrabook designed for travel-based work and presentations, in the edge family and supplied by candle with a 24-month warranty."
PRD0042,Vela Nova 141,Smartphone,Vela,1480.28,861.58,2015,24,0.264,SKU-VEL00042,5G Smartphone,Echo,Red,SUP005,Australia,2015-08-07,GST_STANDARD,Recycled box,True,True,"5g smartphone designed for family communication and casual apps, in the echo family and supplied by vela with a 24-month warranty."
PRD0043,Candle Shift 142,Tablet,Candle,1338.85,985.41,2013,24,0.678,SKU-CAN00043,Productivity Tablet,Flux,Green,SUP006,Japan,2013-10-26,GST_STANDARD,Protective case,True,True,"productivity tablet designed for drawing and lightweight creative work, in the flux family and supplied by candle with a 24-month warranty."
PRD0044,Vela Atlas 143,Home Entertainment,Vela,2873.6,1835.17,2016,24,9.101,SKU-VEL00044,Smart Display,Halo,Black,SUP007,Korea,2016-11-19,GST_STANDARD,Box,True,True,"smart display designed for presentations and photo viewing, in the halo family and supplied by vela with a 24-month warranty."
PRD0045,Candle Flux 144,Audio,Candle,180.47,117.13,2014,12,0.511,SKU-CAN00045,Wireless Audio,Lumen,White,SUP008,Korea,2014-05-24,GST_STANDARD,Box,True,True,"wireless audio designed for long listening sessions at home, in the lumen family and supplied by candle with a 12-month warranty."
PRD0046,Vela Pulse 145,Smart Home,Vela,822.45,463.27,2014,12,0.313,SKU-VEL00046,Home Automation,Nova,Green,SUP009,Korea,2014-09-16,GST_STANDARD,Box,True,True,"home automation designed for automated blind and curtain routines, in the nova family and supplied by vela with a 12-month warranty."
PRD0047,Candle Vista 146,Gaming,Candle,64.28,31.07,2015,24,1.584,SKU-CAN00047,Gaming Hardware,Orbit,White,SUP010,Malaysia,2015-06-10,GST_STANDARD,Box,False,True,"gaming hardware designed for game streaming and media capture, in the orbit family and supplied by candle with a 24-month warranty."
PRD0048,Vela Core 147,Wearable,Vela,165.15,114.56,2012,12,0.088,SKU-VEL00048,Health Wearable,Pulse,Gold,SUP011,China,2012-07-16,GST_STANDARD,Recycled box,True,True,"health wearable designed for habit reminders and everyday timekeeping, in the pulse family and supplied by vela with a 12-month warranty."
PRD0049,Candle Lumen 148,Networking,Candle,740.34,414.41,2017,24,0.61,SKU-CAN00049,Connected Network,Quest,White,SUP012,China,2017-06-09,GST_STANDARD,Box,False,True,"connected network designed for extending coverage between rooms, in the quest family and supplied by candle with a 24-month warranty."
PRD0050,Vela Ridge 149,Accessory,Vela,191.67,118.19,2015,12,0.219,SKU-VEL00050,Mobile Accessory,Ridge,Red,SUP013,China,2015-02-01,GST_STANDARD,Protective case,True,True,"mobile accessory designed for hands-free device support in a shared workspace, in the ridge family and supplied by vela with a 12-month warranty."
PRD0051,Candle Arc 150,Laptop,Candle,2305.52,1693.92,2013,24,1.702,SKU-CAN00051,Ultrabook,Shift,Silver,SUP014,Australia,2013-05-06,GST_STANDARD,Protective case,False,True,"ultrabook designed for portable document work and video meetings, in the shift family and supplied by candle with a 24-month warranty."
PRD0052,Vela Echo 151,Smartphone,Vela,1015.78,534.5,2013,24,0.207,SKU-VEL00052,5G Smartphone,Spark,Silver,SUP015,Vietnam,2013-03-16,GST_STANDARD,Protective case,True,True,"5g smartphone designed for daily communication and navigation, in the spark family and supplied by vela with a 24-month warranty."
PRD0053,Candle Orbit 152,Tablet,Candle,1237.48,930.45,2015,24,0.554,SKU-CAN00053,Productivity Tablet,Vista,Green,SUP016,Japan,2015-03-02,GST_STANDARD,Protective case,True,True,"productivity tablet designed for reading, annotation and handwritten notes, in the vista family and supplied by candle with a 24-month warranty."
PRD0054,Vela Spark 153,Home Entertainment,Vela,4096.4,2090.54,2017,24,9.654,SKU-VEL00054,Smart Display,Wave,Gold,SUP017,Australia,2017-10-26,GST_STANDARD,Recycled box,True,True,"smart display designed for shared film and television viewing, in the wave family and supplied by vela with a 24-month warranty."
PRD0055,Candle Bloom 154,Audio,Candle,706.09,354.86,2012,12,0.639,SKU-CAN00055,Wireless Audio,Arc,Silver,SUP018,Australia,2012-06-12,GST_STANDARD,Protective case,False,True,"wireless audio designed for commuting and spoken-content listening, in the arc family and supplied by candle with a 12-month warranty."
PRD0056,Vela Halo 155,Smart Home,Vela,258.5,150.24,2014,12,0.435,SKU-VEL00056,Home Automation,Atlas,Blue,SUP019,Korea,2014-11-20,GST_STANDARD,Protective case,True,True,"home automation designed for app-controlled room lighting, in the atlas family and supplied by vela with a 12-month warranty."
PRD0057,Candle Quest 156,Gaming,Candle,1785.63,967.34,2013,24,1.395,SKU-CAN00057,Gaming Hardware,Bloom,Graphite,SUP020,Korea,2013-04-12,GST_STANDARD,Protective case,True,True,"gaming hardware designed for long desktop gaming sessions, in the bloom family and supplied by candle with a 24-month warranty."
PRD0058,Vela Wave 157,Wearable,Vela,243.69,125.06,2012,12,0.156,SKU-VEL00058,Health Wearable,Core,Green,SUP021,Korea,2012-10-22,GST_STANDARD,Protective case,False,True,"health wearable designed for daily activity and sleep tracking, in the core family and supplied by vela with a 12-month warranty."
PRD0059,Candle Edge 158,Networking,Candle,602.47,320.82,2012,24,0.831,SKU-CAN00059,Connected Network,Edge,Red,SUP022,Japan,2012-06-04,GST_STANDARD,Recycled box,True,True,"connected network designed for home-office wireless coverage, in the edge family and supplied by candle with a 24-month warranty."
PRD0060,Vela Nova 159,Accessory,Vela,170.83,108.08,2015,12,0.202,SKU-VEL00060,Mobile Accessory,Echo,Blue,SUP023,Australia,2015-05-05,GST_STANDARD,Recycled box,False,True,"mobile accessory designed for adjustable desk mounting and device positioning, in the echo family and supplied by vela with a 12-month warranty."
PRD0061,Candle Shift 160,Laptop,Candle,1754.84,1269.69,2012,24,1.336,SKU-CAN00061,Ultrabook,Flux,Gold,SUP024,Australia,2012-07-13,GST_STANDARD,Protective case,True,True,"ultrabook designed for study, research and note taking, in the flux family and supplied by candle with a 24-month warranty."
PRD0062,Vela Atlas 161,Smartphone,Vela,685.19,437.02,2012,24,0.229,SKU-VEL00062,5G Smartphone,Halo,Gold,SUP025,Australia,2012-12-13,GST_STANDARD,Protective case,False,True,"5g smartphone designed for mobile photography and messaging, in the halo family and supplied by vela with a 24-month warranty."
PRD0063,Candle Flux 162,Tablet,Candle,1165.11,662.56,2016,24,0.489,SKU-CAN00063,Productivity Tablet,Lumen,Red,SUP026,Japan,2016-02-26,GST_STANDARD,Protective case,False,True,"productivity tablet designed for portable media and video calls, in the lumen family and supplied by candle with a 24-month warranty."
PRD0064,Vela Pulse 163,Home Entertainment,Vela,3541.77,2618.29,2014,24,8.757,SKU-VEL00064,Smart Display,Nova,White,SUP027,Japan,2014-10-24,GST_STANDARD,Box,True,True,"smart display designed for music and spoken-content playback, in the nova family and supplied by vela with a 24-month warranty."
PRD0065,Candle Vista 164,Audio,Candle,1196.5,579.24,2014,12,0.473,SKU-CAN00065,Wireless Audio,Orbit,Blue,SUP028,Malaysia,2014-04-06,GST_STANDARD,Protective case,False,True,"wireless audio designed for music during focused desk work, in the orbit family and supplied by candle with a 12-month warranty."
PRD0066,Vela Core 165,Smart Home,Vela,291.03,220.22,2013,12,0.409,SKU-VEL00066,Home Automation,Pulse,Blue,SUP029,Australia,2013-03-16,GST_STANDARD,Box,True,True,"home automation designed for scheduled control of a household power outlet, in the pulse family and supplied by vela with a 12-month warranty."
PRD0067,Candle Lumen 166,Gaming,Candle,374.02,211.63,2012,24,1.521,SKU-CAN00067,Gaming Hardware,Quest,Green,SUP030,Japan,2012-05-17,GST_STANDARD,Protective case,True,True,"gaming hardware designed for casual games in a shared room, in the quest family and supplied by candle with a 24-month warranty."
PRD0068,Vela Ridge 167,Wearable,Vela,316.68,234.68,2015,12,0.127,SKU-VEL00068,Health Wearable,Ridge,Black,SUP031,Korea,2015-06-24,GST_STANDARD,Protective case,True,True,"health wearable designed for walking and commute notifications, in the ridge family and supplied by vela with a 12-month warranty."
PRD0069,Candle Arc 168,Networking,Candle,402.1,207.95,2016,24,0.871,SKU-CAN00069,Connected Network,Shift,Red,SUP032,China,2016-05-08,GST_STANDARD,Box,False,True,"connected network designed for connecting several shared household devices, in the shift family and supplied by candle with a 24-month warranty."
PRD0070,Vela Echo 169,Accessory,Vela,257.34,195.29,2016,12,0.247,SKU-VEL00070,Mobile Accessory,Spark,White,SUP033,Vietnam,2016-10-14,GST_STANDARD,Protective case,False,True,"mobile accessory designed for protective storage during travel, in the spark family and supplied by vela with a 12-month warranty."
PRD0071,Candle Orbit 170,Laptop,Candle,2671.31,1841.84,2013,24,2.069,SKU-CAN00071,Ultrabook,Vista,Blue,SUP034,Malaysia,2013-02-08,GST_STANDARD,Box,False,True,"ultrabook designed for creative projects and media editing, in the vista family and supplied by candle with a 24-month warranty."
PRD0072,Vela Spark 171,Smartphone,Vela,1642.51,1047.51,2012,24,0.241,SKU-VEL00072,5G Smartphone,Wave,Silver,SUP035,Korea,2012-09-26,GST_STANDARD,Box,True,False,"5g smartphone designed for work calls and calendar management, in the wave family and supplied by vela with a 24-month warranty."
PRD0073,Candle Bloom 172,Tablet,Candle,900.89,565.88,2012,24,0.542,SKU-CAN00073,Productivity Tablet,Arc,Green,SUP036,Korea,2012-03-22,GST_STANDARD,Protective case,True,True,"productivity tablet designed for field forms and client presentations, in the arc family and supplied by candle with a 24-month warranty."
PRD0074,Vela Halo 173,Home Entertainment,Vela,3772.69,2432.52,2014,24,7.889,SKU-VEL00074,Smart Display,Atlas,Black,SUP037,China,2014-11-17,GST_STANDARD,Recycled box,True,True,"smart display designed for family media streaming, in the atlas family and supplied by vela with a 24-month warranty."
PRD0075,Candle Quest 174,Audio,Candle,155.15,79.49,2017,12,0.628,SKU-CAN00075,Wireless Audio,Bloom,Black,SUP001,Malaysia,2017-04-16,GST_STANDARD,Box,True,True,"wireless audio designed for video calls and online classes, in the bloom family and supplied by candle with a 12-month warranty."
PRD0076,Vela Wave 175,Smart Home,Vela,705.93,424.01,2012,12,0.415,SKU-VEL00076,Home Automation,Core,Blue,SUP002,China,2012-05-25,GST_STANDARD,Box,True,True,"home automation designed for indoor temperature and humidity monitoring, in the core family and supplied by vela with a 12-month warranty."
PRD0077,Candle Edge 176,Gaming,Candle,2379.38,1413.05,2016,24,0.894,SKU-CAN00077,Gaming Hardware,Edge,Blue,SUP003,Australia,2016-06-18,GST_STANDARD,Protective case,True,True,"gaming hardware designed for competitive play and voice communication, in the edge family and supplied by candle with a 24-month warranty."
PRD0078,Vela Nova 177,Wearable,Vela,280.55,149.62,2016,12,0.132,SKU-VEL00078,Health Wearable,Echo,Silver,SUP004,China,2016-10-04,GST_STANDARD,Recycled box,True,True,"health wearable designed for exercise session summaries, in the echo family and supplied by vela with a 12-month warranty."
PRD0079,Candle Shift 178,Networking,Candle,211.65,118.84,2013,24,0.823,SKU-CAN00079,Connected Network,Flux,Silver,SUP005,Vietnam,2013-01-10,GST_STANDARD,Protective case,True,True,"connected network designed for video meetings and media streaming, in the flux family and supplied by candle with a 24-month warranty."
PRD0080,Vela Atlas 179,Accessory,Vela,60.33,31.79,2012,12,0.202,SKU-VEL00080,Mobile Accessory,Halo,Graphite,SUP006,Korea,2012-09-11,GST_STANDARD,Box,True,True,"mobile accessory designed for charging-cable organisation, in the halo family and supplied by vela with a 12-month warranty."
PRD0081,Candle Flux 180,Laptop,Candle,3046.5,1549.79,2015,24,1.346,SKU-CAN00081,Ultrabook,Lumen,Gold,SUP007,Korea,2015-01-11,GST_STANDARD,Box,False,True,"ultrabook designed for shared home-office administration, in the lumen family and supplied by candle with a 24-month warranty."
PRD0082,Vela Pulse 181,Smartphone,Vela,1101.3,550.66,2012,24,0.178,SKU-VEL00082,5G Smartphone,Nova,Black,SUP008,Vietnam,2012-03-20,GST_STANDARD,Box,True,True,"5g smartphone designed for travel planning and media use, in the nova family and supplied by vela with a 24-month warranty."
PRD0083,Candle Vista 182,Tablet,Candle,558.55,337.02,2016,24,0.764,SKU-CAN00083,Productivity Tablet,Orbit,Silver,SUP009,Korea,2016-07-25,GST_STANDARD,Protective case,False,True,"productivity tablet designed for family learning and shared browsing, in the orbit family and supplied by candle with a 24-month warranty."
PRD0084,Vela Core 183,Home Entertainment,Vela,3804.86,2013.03,2015,24,7.486,SKU-VEL00084,Smart Display,Pulse,Red,SUP010,Japan,2015-01-03,GST_STANDARD,Protective case,True,True,"smart display designed for casual living-room gaming, in the pulse family and supplied by vela with a 24-month warranty."
PRD0085,Candle Lumen 184,Audio,Candle,238.64,133.18,2016,12,0.349,SKU-CAN00085,Wireless Audio,Quest,White,SUP011,Japan,2016-10-10,GST_STANDARD,Protective case,False,True,"wireless audio designed for shared-room music playback, in the quest family and supplied by candle with a 12-month warranty."
PRD0086,Vela Ridge 185,Smart Home,Vela,669.12,353.36,2017,12,0.337,SKU-VEL00086,Home Automation,Ridge,Green,SUP012,Korea,2017-04-12,GST_STANDARD,Box,True,True,"home automation designed for door and window activity alerts, in the ridge family and supplied by vela with a 12-month warranty."
PRD0087,Candle Arc 186,Gaming,Candle,2316.68,1403.71,2017,24,1.082,SKU-CAN00087,Gaming Hardware,Shift,Black,SUP013,China,2017-08-16,GST_STANDARD,Protective case,True,True,"gaming hardware designed for portable gaming and travel, in the shift family and supplied by candle with a 24-month warranty."
PRD0088,Vela Echo 187,Wearable,Vela,466.29,232.22,2014,12,0.133,SKU-VEL00088,Health Wearable,Spark,Graphite,SUP014,Vietnam,2014-05-18,GST_STANDARD,Box,True,True,"health wearable designed for calendar alerts and quick message checks, in the spark family and supplied by vela with a 12-month warranty."
PRD0089,Candle Orbit 188,Networking,Candle,739.15,389.7,2015,24,0.626,SKU-CAN00089,Connected Network,Vista,Silver,SUP015,Malaysia,2015-03-05,GST_STANDARD,Recycled box,True,True,"connected network designed for guest-network and device management, in the vista family and supplied by candle with a 24-month warranty."
PRD0090,Vela Spark 189,Accessory,Vela,99.88,50.34,2014,12,0.187,SKU-VEL00090,Mobile Accessory,Wave,Black,SUP016,Australia,2014-12-18,GST_STANDARD,Protective case,True,True,"mobile accessory designed for connecting several devices through one compact adapter, in the wave family and supplied by vela with a 12-month warranty."
PRD0091,Candle Bloom 190,Laptop,Candle,2264.24,1279.17,2016,24,1.086,SKU-CAN00091,Ultrabook,Arc,Red,SUP017,Vietnam,2016-02-03,GST_STANDARD,Recycled box,True,True,"ultrabook designed for travel-based work and presentations, in the arc family and supplied by candle with a 24-month warranty."
PRD0092,Vela Halo 191,Smartphone,Vela,370.43,202.51,2016,24,0.289,SKU-VEL00092,5G Smartphone,Atlas,Graphite,SUP018,Korea,2016-12-11,GST_STANDARD,Recycled box,True,True,"5g smartphone designed for family communication and casual apps, in the atlas family and supplied by vela with a 24-month warranty."
PRD0093,Candle Quest 192,Tablet,Candle,1330.98,870.35,2016,24,0.605,SKU-CAN00093,Productivity Tablet,Bloom,Blue,SUP019,Japan,2016-11-06,GST_STANDARD,Recycled box,True,True,"productivity tablet designed for drawing and lightweight creative work, in the bloom family and supplied by candle with a 24-month warranty."
PRD0094,Vela Wave 193,Home Entertainment,Vela,3733.59,2797.97,2012,24,8.326,SKU-VEL00094,Smart Display,Core,Graphite,SUP020,Japan,2012-08-20,GST_STANDARD,Box,False,True,"smart display designed for presentations and photo viewing, in the core family and supplied by vela with a 24-month warranty."
PRD0095,Candle Edge 194,Audio,Candle,699.82,515.29,2012,12,0.394,SKU-CAN00095,Wireless Audio,Edge,Red,SUP021,Malaysia,2012-03-27,GST_STANDARD,Box,True,True,"wireless audio designed for long listening sessions at home, in the edge family and supplied by candle with a 12-month warranty."
PRD0096,Vela Nova 195,Smart Home,Vela,569.77,427.49,2016,12,0.355,SKU-VEL00096,Home Automation,Echo,White,SUP022,Japan,2016-10-25,GST_STANDARD,Box,True,True,"home automation designed for automated blind and curtain routines, in the echo family and supplied by vela with a 12-month warranty."
